Compound Score,Negative Score,Neutral Score,Positive Score,Tweet,TweetsAgo,User
0.0,0.0,1.0,0.0,President Trump has spent nearly one-third of his presidency at a Trump property https://t.co/Wf8HwDeDbe https://t.co/cumPR1jaFo,47.0,@CNN
-0.3724,0.108,0.892,0.0,"RT @CNNnewsroom: Rep. Jackie Speier: ""This President does not respect the rule of law... He is constantly putting down the very institution…",48.0,@CNN
0.0,0.0,1.0,0.0,Everything you need to know about the new tax law https://t.co/4WtSh2jKEG https://t.co/15xAkpp6nf,49.0,@CNN
-0.8074,0.378,0.622,0.0,New York City on pace to record lowest murder tally in decades https://t.co/VA21L3DGnq https://t.co/KVX6h7xV7j,50.0,@CNN
-0.5574,0.265,0.735,0.0,Tunisia suspends Emirates flights following female passenger travel ban https://t.co/8YPZdQii6Y https://t.co/9BgQW1SS28,51.0,@CNN
0.0,0.0,1.0,0.0,"Even for a place that gets a ton of snow, this was a record-breaking two days for Erie, Pennsylvania… https://t.co/CMgcfSZSD7",52.0,@CNN
0.4019,0.069,0.755,0.176,US Ambassador to the United Nations Nikki Haley touts reduced UN budget https://t.co/FIAkXVutKs https://t.co/HIXUq0JNiH,53.0,@CNN
0.0,0.0,1.0,0.0,Liberians go to the polls to choose a new president https://t.co/wulGo2OLNz https://t.co/2GOMCvKM21,54.0,@CNN
0.5106,0.0,0.732,0.268,"Kennedy Center Honors go on, despite presidential no-show https://t.co/J966nevchU https://t.co/F6in4HSspb",55.0,@CNN
0.0,0.0,1.0,0.0,"More pregnant women are using pot, study finds https://t.co/4tJ3t1AcZn https://t.co/xKCqRQwODC",56.0,@CNN
0.0,0.078,0.843,0.078,"Retail has seen one of its toughest years, with a record number of store closings https://t.co/HYPleuXNNl https://t.co/HMWPJhPuBE",57.0,@CNN
0.0,0.0,1.0,0.0,"I'm a 6'3"" man with tattoo sleeves and a shaved head — and I have a #MeToo story, writes James Gagliano for… https://t.co/PCcppn4LpH",58.0,@CNN
-0.6249,0.186,0.814,0.0,"This year has been an unequivocal disaster for the future of the planet, writes Mark Kelly for @CNNOpinion… https://t.co/1yuzhOmJGB",59.0,@CNN
0.0,0.0,1.0,0.0,Jamie Lynn Spears is pregnant with her second child https://t.co/Ca2LbUXrMu https://t.co/NTDovIwE8v,60.0,@CNN
-0.5994,0.231,0.769,0.0,Fans and relatives remember music superstar George Michael a year after his death https://t.co/7CuWGRkBAH https://t.co/PZ2uRLqIwp,61.0,@CNN
0.0,0.0,1.0,0.0,Here's a look back at some of the moments that defined golf in 2017 https://t.co/eCI06QmmGW https://t.co/XrgWPekN3s,62.0,@CNN
0.0,0.0,1.0,0.0,Investors think the iPhone X is a disappoinment https://t.co/FaT2wnC71X https://t.co/WmHKG4QCUk,63.0,@CNN
0.0,0.0,1.0,0.0,The local's guide to Venice Beach https://t.co/P1sN7sh2zz https://t.co/1ot4MZRFiX,64.0,@CNN
0.0,0.0,1.0,0.0,Major newspaper in Utah has called on Sen. Orrin Hatch to not seek re-election https://t.co/7049F461Tk https://t.co/oGJBdnMI6Q,65.0,@CNN
-0.8625,0.35,0.65,0.0,A mother and her two children were killed in a domestic violence shooting at a Phoenix apartment complex on Christm… https://t.co/64PbnjhP2Q,66.0,@CNN
0.8591,0.0,0.488,0.512,There's a good chance your holiday gift returns will end up in a landfill https://t.co/NLxuthY332 https://t.co/MqUHpuYJVE,67.0,@CNN
0.1779,0.17,0.612,0.218,This overweight shelter dog helped save a 340-pound man's life https://t.co/xpLHYgftAG https://t.co/628EkX7Vfq,68.0,@CNN
-0.7845,0.418,0.582,0.0,Two suspects have been arrested in South Korea's deadliest fire in years https://t.co/O0sJsWoI20 https://t.co/SJWPcG2y2g,69.0,@CNN
0.4588,0.0,0.833,0.167,"'All chocolate, all the time’: Meet Jacques Torres, the wizard of sweet | via @CNNTravel https://t.co/wE6VhkFHCF https://t.co/1d9ExvWLXP",70.0,@CNN
-0.8402,0.286,0.714,0.0,"""The Sound of Music,"" actress Heather Menzies Urich has died of brain cancer, said her son. She was 68 years old… https://t.co/Sj2AbBYwVm",71.0,@CNN
0.0,0.0,1.0,0.0,China orders tech tycoon to return and face debts https://t.co/XE96nyhOOE https://t.co/SiFUzg3BGl,72.0,@CNN
0.6705,0.0,0.744,0.256,Investors are returning from the holiday break to a full day of trading in the United States https://t.co/0xUolhRJJP https://t.co/qtQAzzaXN7,73.0,@CNN
-0.2732,0.11,0.89,0.0,An iconic tree on the White House grounds is scheduled to be cut down and removed https://t.co/AlCP3Emj9L https://t.co/kmHFQ2Fs7f,74.0,@CNN
0.6705,0.0,0.756,0.244,"From palatial suites that would grace a hotel penthouse to historic vessels exuding nostalgia and charm, here are s… https://t.co/hLr6kRX2XA",75.0,@CNN
-0.3182,0.204,0.796,0.0,Here are the people we've lost in 2017 https://t.co/nOrRgeCXea https://t.co/KIgN3ybil6,76.0,@CNN
0.4404,0.0,0.879,0.121,"China had a good year in the South China Sea, analysts say. But that could change in 2018, if an over-confident Bei… https://t.co/zGMcCKycB1",77.0,@CNN
0.2023,0.0,0.909,0.091,Meet the top-ranking female chess player and the only woman in the World Chess Federation's Top 100 players… https://t.co/mqqgbSkN3Z,78.0,@CNN
-0.1531,0.143,0.739,0.117,"Peruvians, angered at the pardoning of ailing former President Fujimori, took to the streets of Lima, for a second… https://t.co/Lq05g1ftBn",79.0,@CNN
0.0,0.0,1.0,0.0,"7 women in politics to watch in 2018: Why @SenGillibrand, @lisamurkowski, @KamalaHarris, along with UN Ambassador… https://t.co/T20PfpsQJ6",80.0,@CNN
0.0,0.0,1.0,0.0,Here's a non-black person's guide to Kwanzaa https://t.co/rqdYkq8g3c https://t.co/hjHEQagWz7,81.0,@CNN
0.0,0.0,1.0,0.0,2018 will be the year of the electric car https://t.co/njxWuMIiF0 https://t.co/Hvrbeni6ZN,82.0,@CNN
-0.4215,0.149,0.851,0.0,"Chinese scientists are using a cloned, gene-edited dog to aid cardiovascular disease research, but critics call the… https://t.co/eqnpOp1LfW",83.0,@CNN
-0.6124,0.235,0.765,0.0,"""They use black men as slaves."" Migrants tell of brutality in Libya https://t.co/wfOxB63YgF https://t.co/qYi5gQjfeP",84.0,@CNN
0.2732,0.073,0.81,0.117,"Boxing Day is the day after Christmas, and it has absolutely nothing to do with your empty gift boxes. Here's what… https://t.co/C67ZnI87ia",85.0,@CNN
-0.8402,0.286,0.714,0.0,"""The Sound of Music,"" actress Heather Menzies Urich has died of brain cancer, said her son. She was 68 years old… https://t.co/LOAAYo4rvS",86.0,@CNN
-0.3182,0.247,0.753,0.0,2017: The year feminism fought back https://t.co/agPr1thEl6 https://t.co/DexdiOdxhu,87.0,@CNN
-0.4588,0.15,0.85,0.0,"On the Japanese island of Naoshima, contemporary sculptures dot the landscape, while abandoned houses are turned in… https://t.co/ouABUgfAn3",88.0,@CNN
0.0,0.0,1.0,0.0,Take a look back at the photos that shaped 2017 https://t.co/2RA9kYpQjF https://t.co/nd1VMNDvpz,89.0,@CNN
0.3182,0.135,0.598,0.267,The South Korean Defense Ministry is creating a new bureau dedicated to monitoring and countering the threat from N… https://t.co/lIsujLAv8w,90.0,@CNN
-0.3182,0.113,0.887,0.0,"They've been dubbed ""ghost ships."" This year marked a record for this mysterious phenomenon as nearly 100 North Kor… https://t.co/q60bnhNXxJ",91.0,@CNN
0.0,0.0,1.0,0.0,President Trump has visited his properties more than 100 times this year https://t.co/vwcyz5lMOV https://t.co/IFOIFNCkg0,92.0,@CNN
0.0,0.0,1.0,0.0,This was the year Brexit began to bite https://t.co/3h1zb7pS3A https://t.co/SkbupIFwp4,93.0,@CNN
0.5106,0.0,0.798,0.202,"From investing in Pakistan to deploying peacekeepers in South Sudan, China’s growing clout is being felt around the… https://t.co/sC0SS4tDA7",94.0,@CNN
0.0,0.0,1.0,0.0,They escaped child marriage. Now they're speaking out https://t.co/yx6vrXDUjr https://t.co/VjdAgfaTKu,95.0,@CNN
-0.2924,0.135,0.865,0.0,Why US President Donald Trump isn't getting the credit he thinks he deserves https://t.co/hjtYhdM2lH https://t.co/psVgwQpCsj,96.0,@CNN
0.7906,0.0,0.696,0.304,"What will happen in 2018?

- Trump approval rating
- Super Bowl
- House of Representatives
- The Dow
- Oscars
- Bes… https://t.co/cD9phUJF6D",97.0,@CNN
0.128,0.112,0.757,0.131,A man in Puerto Rico dresses up as Santa Claus to spread Christmas cheer in the face of devastation from Hurricane… https://t.co/6AULqqAjom,98.0,@CNN
0.0,0.0,1.0,0.0,"""I told him I voted for Trump in the primaries, he practically asked for the check""

Here's how dating in New York… https://t.co/SHyIwPZewv",99.0,@CNN
0.0,0.0,1.0,0.0,"Filmed from inside cars and hotel rooms, CNN's Justin Robertson gives us a rare insight into life in Pyongyang, Nor… https://t.co/0w5ySvF1Sg",100.0,@CNN
0.7783,0.0,0.673,0.327,Looking for a festive cocktail recipe? @jamieoliver made everyone a delightful Christmas tipple on #TGNS last week. https://t.co/jkYQj3zWkb,1.0,@BBC
0.4588,0.0,0.667,0.333,Nature can be simply breathtaking. #ReindeerFamilyAndMe https://t.co/NEa0YjJzlx,2.0,@BBC
0.891,0.0,0.586,0.414,"Amsterdam, 1686. Nella marries a rich merchant, hoping for love and prosperity. Instead, she enters a world of myst… https://t.co/NxY0G4kxzP",3.0,@BBC
0.0,0.0,1.0,0.0,RT @BBCOne: When you’re so full up from eating that this is how you get around now. #SnowBears https://t.co/zaNXZO2xA9,4.0,@BBC
0.4019,0.0,0.87,0.13,🦌 ❄️ @GordonJBuchanan meets the Sami people and learns about their special bond with reindeer. Reindeer Family &amp; Me… https://t.co/7n8e6BgrVI,5.0,@BBC
0.0,0.0,1.0,0.0,Ainsley Harriott fed this guy pigs in blankets in the middle of the night. Michael McIntyre’s Midnight Gameshow con… https://t.co/B4aZXsITjV,6.0,@BBC
0.5523,0.0,0.798,0.202,RT @BBCr4today: Don't forget Prince Harry is our guest editor tomorrow. Tune in bright and early from 6am https://t.co/LlBHinCr6k #r4today…,7.0,@BBC
0.3612,0.0,0.872,0.128,"Make Christmas leftovers feel brand new with recipes like the @HairyBikers' 'Bang Bang Turkey.' 🍗

Find more leftov… https://t.co/pPVKwocz8I",8.0,@BBC
0.5994,0.0,0.804,0.196,A coming of age story loved by generations worldwide. ❤️ #LittleWomen. Starts tonight at 8pm on @BBCOne.… https://t.co/JGJKcZkWKD,9.0,@BBC
0.2714,0.0,0.913,0.087,"RT @BBCRadio2: Between now and 2pm, @mikasounds is playing some of his favourite tracks from the most iconic songwriters of all time! Rumou…",10.0,@BBC
-0.296,0.115,0.885,0.0,.@Camila_Cabello was on @BBCR1 for a whole hour on Christmas day. Missed it? You can listen back here:… https://t.co/JI3H2jJkW0,11.0,@BBC
-0.7096,0.312,0.688,0.0,"A Northerner has been accused of terrifying Londoners by walking around saying hello… 😂 

#TheMashReport | @BBCTwo https://t.co/Pz88aBmrkh",12.0,@BBC
0.0516,0.118,0.756,0.126,RT @BBCWomansHour: Struggling with your mental health over the festive period? @Rubywax says #mindfulness changed her life 🙇 VIDEO 🎥👇 https…,13.0,@BBC
0.0,0.0,1.0,0.0,"Follow the journey of polar bear cubs and their mother as they travel 400 miles to the North Pole. ❄️

#SnowBears |… https://t.co/FuWj5eXpTz",14.0,@BBC
0.0,0.0,1.0,0.0,"RT @BBCr4today: Prince Harry is all set to guest edit the programme on Wednesday where you can expect a lot more of this...
Listen live her…",15.0,@BBC
-0.8481,0.506,0.494,0.0,"The zombie crisis is now a full-blown crisis. 😂

#ScotSquad | @BBCScotland https://t.co/UFyNdLks67",16.0,@BBC
-0.4404,0.192,0.728,0.08,Tens of thousands of people may be at increased risk of dying early from heart attacks and strokes by misusing anab… https://t.co/bSJsAN1SxG,17.0,@BBC
0.6674,0.0,0.767,0.233,RT @BBCOne: Who said the presents have to end already? Unwrap even more festive surprises on @BBCOne this #BoxingDay. 🎁 https://t.co/LyOf9H…,18.0,@BBC
0.3182,0.0,0.905,0.095,"RT @BBCOne: Pack your bags for a fun-packed, snowy adventure as two polar bear cubs and their mother embark on a 400-mile journey. ❄️

#Sno…",19.0,@BBC
-0.7469,0.229,0.771,0.0,"Tuberculosis is often thought of as a historic disease, but every day around 4,700 people worldwide die of TB.… https://t.co/mDQdvSV78x",20.0,@BBC
0.7783,0.0,0.673,0.327,Looking for a festive cocktail recipe? @jamieoliver made everyone a delightful Christmas tipple on #TGNS last week. https://t.co/jkYQj3zWkb,21.0,@BBC
0.4588,0.0,0.667,0.333,Nature can be simply breathtaking. #ReindeerFamilyAndMe https://t.co/NEa0YjJzlx,22.0,@BBC
0.891,0.0,0.586,0.414,"Amsterdam, 1686. Nella marries a rich merchant, hoping for love and prosperity. Instead, she enters a world of myst… https://t.co/NxY0G4kxzP",23.0,@BBC
0.0,0.0,1.0,0.0,RT @BBCOne: When you’re so full up from eating that this is how you get around now. #SnowBears https://t.co/zaNXZO2xA9,24.0,@BBC
0.4019,0.0,0.87,0.13,🦌 ❄️ @GordonJBuchanan meets the Sami people and learns about their special bond with reindeer. Reindeer Family &amp; Me… https://t.co/7n8e6BgrVI,25.0,@BBC
0.0,0.0,1.0,0.0,Ainsley Harriott fed this guy pigs in blankets in the middle of the night. Michael McIntyre’s Midnight Gameshow con… https://t.co/B4aZXsITjV,26.0,@BBC
0.5523,0.0,0.798,0.202,RT @BBCr4today: Don't forget Prince Harry is our guest editor tomorrow. Tune in bright and early from 6am https://t.co/LlBHinCr6k #r4today…,27.0,@BBC
0.3612,0.0,0.872,0.128,"Make Christmas leftovers feel brand new with recipes like the @HairyBikers' 'Bang Bang Turkey.' 🍗

Find more leftov… https://t.co/pPVKwocz8I",28.0,@BBC
0.5994,0.0,0.804,0.196,A coming of age story loved by generations worldwide. ❤️ #LittleWomen. Starts tonight at 8pm on @BBCOne.… https://t.co/JGJKcZkWKD,29.0,@BBC
0.2714,0.0,0.913,0.087,"RT @BBCRadio2: Between now and 2pm, @mikasounds is playing some of his favourite tracks from the most iconic songwriters of all time! Rumou…",30.0,@BBC
-0.296,0.115,0.885,0.0,.@Camila_Cabello was on @BBCR1 for a whole hour on Christmas day. Missed it? You can listen back here:… https://t.co/JI3H2jJkW0,31.0,@BBC
-0.7096,0.312,0.688,0.0,"A Northerner has been accused of terrifying Londoners by walking around saying hello… 😂 

#TheMashReport | @BBCTwo https://t.co/Pz88aBmrkh",32.0,@BBC
0.0516,0.118,0.756,0.126,RT @BBCWomansHour: Struggling with your mental health over the festive period? @Rubywax says #mindfulness changed her life 🙇 VIDEO 🎥👇 https…,33.0,@BBC
0.0,0.0,1.0,0.0,"Follow the journey of polar bear cubs and their mother as they travel 400 miles to the North Pole. ❄️

#SnowBears |… https://t.co/FuWj5eXpTz",34.0,@BBC
0.0,0.0,1.0,0.0,"RT @BBCr4today: Prince Harry is all set to guest edit the programme on Wednesday where you can expect a lot more of this...
Listen live her…",35.0,@BBC
-0.8481,0.506,0.494,0.0,"The zombie crisis is now a full-blown crisis. 😂

#ScotSquad | @BBCScotland https://t.co/UFyNdLks67",36.0,@BBC
-0.4404,0.192,0.728,0.08,Tens of thousands of people may be at increased risk of dying early from heart attacks and strokes by misusing anab… https://t.co/bSJsAN1SxG,37.0,@BBC
0.6674,0.0,0.767,0.233,RT @BBCOne: Who said the presents have to end already? Unwrap even more festive surprises on @BBCOne this #BoxingDay. 🎁 https://t.co/LyOf9H…,38.0,@BBC
0.3182,0.0,0.905,0.095,"RT @BBCOne: Pack your bags for a fun-packed, snowy adventure as two polar bear cubs and their mother embark on a 400-mile journey. ❄️

#Sno…",39.0,@BBC
-0.7469,0.229,0.771,0.0,"Tuberculosis is often thought of as a historic disease, but every day around 4,700 people worldwide die of TB.… https://t.co/mDQdvSV78x",40.0,@BBC
0.4588,0.0,0.857,0.143,'It's well worth taking a rest next to the burn so you can watch all the people fall on their arse as they try to t… https://t.co/EimdoMZ53x,41.0,@BBC
0.2263,0.0,0.924,0.076,"RT @bbcworldservice: When we asked you for images of Jugaad, some of the cheap life hacks you'd spotted around the world surprised even us.…",42.0,@BBC
0.0,0.0,1.0,0.0,"RT @CBeebiesHQ: Which wrapping paper can you recycle? 
🎁🎁🔄

https://t.co/awqulXOj1R",43.0,@BBC
0.3612,0.0,0.783,0.217,"RT @BBCRadio4: 🎁 ""Thank you. It's just what I always wanted.""
https://t.co/fAxXWlA6Ao",44.0,@BBC
0.4404,0.0,0.861,0.139,"😋 Pies, sausage rolls, brunches, desserts... If your fave Christmas feast is the Boxing Day leftovers table, this i… https://t.co/4dfP89ZlSP",45.0,@BBC
0.0,0.0,1.0,0.0,Savouring the Christmas leftovers like... https://t.co/aq2gFRPi0R,46.0,@BBC
0.4588,0.0,0.85,0.15,"Who actually knows why #BoxingDay is called Boxing Day? 🤔

@BBCTwo's The Sweet Makers is now available on… https://t.co/HGTdQo187W",47.0,@BBC
0.5106,0.0,0.837,0.163,"This London barber offers free haircuts and life advice to the young and unemployed. ✂️

#EverydayHeroes |… https://t.co/j63JI7ddH2",48.0,@BBC
0.0,0.0,1.0,0.0,"The more meat we eat, the quicker we deplete the Earth's resources. Could AI devise new ways to make meat-free food… https://t.co/CUeZmrbzIf",49.0,@BBC
-0.2136,0.081,0.919,0.0,"RT @BBCTwo: ""I don't like running from the law... but this is awesome!"" 😎😱

All new #TopGear. Coming soon to @BBCTwo​. https://t.co/0QP1aRA…",50.0,@BBC
-0.1027,0.097,0.903,0.0,"RT @bbcthree: Being a waitress at Christmas is hard. 

Here's what you can expect... https://t.co/Od0d6mkmmT",51.0,@BBC
0.0,0.0,1.0,0.0,RT @bbceastenders: This is too much... #EastEnders https://t.co/owupXCrWzU,52.0,@BBC
0.4574,0.0,0.85,0.15,✨🎄 @Dawn_French and @ferrifrump are back for a special 30th-anniversary show! 300 Years of French and Saunders. 10:… https://t.co/dYVCsyoASR,53.0,@BBC
0.6369,0.0,0.802,0.198,RT @BBCOne: The best Christmas present a mother could ask for. Reunited after all this time. ❤️ #CallTheMidwife https://t.co/IiRFhQeXW1,54.0,@BBC
0.2846,0.0,0.918,0.082,"We all know the lyrics to the beloved Fairytale of New York, but how much do you know about the song and its legacy… https://t.co/D62etc9KsC",55.0,@BBC
0.4588,0.0,0.7,0.3,RT @BBCOne: Aww. What a festive line-up. 🎄✨#CallTheMidwife https://t.co/SQN1HGtwu1,56.0,@BBC
0.8001,0.0,0.494,0.506,"RT @bbcthree: LET ME EAT IN PEACE, OK? https://t.co/A9Qq5iOuc2",57.0,@BBC
0.0,0.0,1.0,0.0,We are all Emily. 😂 https://t.co/fSJizdrOYO https://t.co/AM8fZ7AfUj,58.0,@BBC
0.5994,0.136,0.557,0.307,"On the first anniversary of his death, @BBCRadio2 celebrates the huge talent of George Michael. Listen from 8pm. 💜… https://t.co/9ZpIqStRcw",59.0,@BBC
0.0,0.0,1.0,0.0,"RT @bbcdoctorwho: As Twelve lets go… Words to hold onto.
#DoctorWho https://t.co/YMco9iY9ay",60.0,@BBC
0.2732,0.0,0.89,0.11,"Can these two committed meat-eaters be persuaded to swap turkey 🍗 for a vegan 🥕 Christmas dinner? 🎄🍴

Via @BBC5Live https://t.co/6aDLqwC2S2",61.0,@BBC
0.0,0.0,1.0,0.0,"RT @BBCOne: The time has come. 
Let the regeneration begin...
 
#DoctorWho https://t.co/2fnnzc3wWl",62.0,@BBC
-0.2263,0.162,0.711,0.126,"As the worst winter in living memory hits, the team must care for their patients during the big freeze.… https://t.co/zBwtdS3f7d",63.0,@BBC
0.4588,0.0,0.85,0.15,"From Iceland's 13 trolls &amp; man-eating cat to Catalonia's big nativity tradition, here are 7 quirky festive traditio… https://t.co/wl4ssvAN42",64.0,@BBC
0.0,0.0,1.0,0.0,"Tonight, six stars of @BBCStrictly past return to the ballroom to compete for the #Strictly Christmas trophy. 6:30p… https://t.co/Csu9Nhljvj",65.0,@BBC
0.7579,0.0,0.711,0.289,"RT @bbcstories: This Christmas Day, meet the amazing family travelling to Calais to help those in need. https://t.co/rDk9BSCrs1",66.0,@BBC
0.4019,0.0,0.828,0.172,"RT @BBCOne: Have yourself a very Mammy Christmas. 

#MrsBrownsBoys Christmas Special. Christmas Day. 10pm. https://t.co/JwYoBs6nhd",67.0,@BBC
